date,bank_account,account_code,customer_id,amount,forecast,type
2018-01-30 00:00:00,244,Supplier payment,11516,-24.7745,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11856,-17.3,0,SPEND
2018-01-30 00:00:00,244,Customer payment,10591,236.875,0,RECEIVE
2018-01-30 00:00:00,244,Customer payment,10591,50.82,0,RECEIVE
2018-01-30 00:00:00,244,Miscellaneous,12484,-164.058,0,SPEND
2018-01-30 00:00:00,244,Miscellaneous,12490,-488.5875,0,SPEND
2018-01-30 00:00:00,244,Miscellaneous,12484,-12.475,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11726,-16.5825,0,SPEND
2018-01-30 00:00:00,244,Supplier payment,11448,-75.7885,0,SPEND
2018-01-31 00:00:00,244,Supplier payment,11222,-3.9575,0,SPEND
2018-01-31 00:00:00,244,Supplier payment,10964,-0.1525,0,SPEND
2018-01-31 00:00:00,244,Customer payment,10705,85.03,0,RECEIVE
2018-01-31 00:00:00,244,Miscellaneous,12482,-286.05,0,SPEND
2018-01-31 00:00:00,244,Customer payment,10704,28.605,0,RECEIVE
2018-01-31 00:00:00,244,Miscellaneous,12485,-2552.1465,0,SPEND
2018-01-31 00:00:00,244,Miscellaneous,12485,-1824.4165,0,SPEND
2018-02-01 00:00:00,244,Customer payment,10567,337.585,0,RECEIVE
2018-02-01 00:00:00,244,Customer payment,10698,22.03,0,RECEIVE
2018-02-01 00:00:00,244,Customer payment,10702,437.44,0,RECEIVE
2018-02-01 00:00:00,244,Customer payment,10706,64.135,0,RECEIVE
2018-02-01 00:00:00,244,Customer payment,10661,146.25,0,RECEIVE
2018-02-01 00:00:00,244,Customer payment,10661,16.25,0,RECEIVE
2018-02-01 00:00:00,244,Supplier payment,11904,-254.1,0,SPEND
2018-02-01 00:00:00,244,Supplier payment,11262,-500,0,SPEND
2018-02-01 00:00:00,244,Supplier payment,11484,-937.5,0,SPEND
2018-02-02 00:00:00,244,Miscellaneous,12493,-532.0925,0,SPEND
2018-02-02 00:00:00,244,Customer payment,10537,5176.33625,0,RECEIVE
2018-02-02 00:00:00,244,Customer payment,10663,27236.055,0,RECEIVE
2018-02-05 00:00:00,244,Bank charges,12483,-26.25,0,SPEND
2018-02-05 00:00:00,244,Customer payment,10703,468.0375,0,RECEIVE
2018-02-05 00:00:00,244,Supplier payment,11364,-4.145,0,SPEND
2018-02-05 00:00:00,244,Supplier payment,11417,-7.97,0,SPEND
2018-02-05 00:00:00,244,Supplier payment,11047,-25,0,SPEND
2018-02-05 00:00:00,244,Supplier payment,11484,-3333.1928125,0,SPEND
2018-02-05 00:00:00,244,Customer payment,10537,806.739375,0,RECEIVE
2018-02-05 00:00:00,244,Supplier payment,11423,-6.8075,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11410,-457.36,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11410,-107.19,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,12453,-83.3525,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11841,-133.705,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11774,-614.6703125,0,SPEND
2018-02-06 00:00:00,244,Miscellaneous,12484,-263.31,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11346,-35,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11410,-287.25,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11896,-12,0,SPEND
2018-02-06 00:00:00,244,Customer payment,10661,9.7125,0,RECEIVE
2018-02-06 00:00:00,244,Supplier payment,11344,-39.085,0,SPEND
2018-02-06 00:00:00,244,Miscellaneous,12485,-578.6925,0,SPEND
2018-02-06 00:00:00,244,Miscellaneous,12485,-5013.194375,0,SPEND
2018-02-06 00:00:00,244,Miscellaneous,12485,-646.00375,0,SPEND
2018-02-06 00:00:00,244,General expense,12487,-53.24,0,SPEND
2018-02-06 00:00:00,244,Supplier payment,11842,-50.8375,0,SPEND
2018-02-07 00:00:00,244,Supplier payment,12379,-1516.5525,0,SPEND
2018-02-07 00:00:00,244,Salaries,12491,-2307.5,0,SPEND
2018-02-08 00:00:00,244,Supplier payment,12421,-14.795,0,SPEND
2018-02-08 00:00:00,244,Supplier payment,11829,-93.9275,0,SPEND
2018-02-08 00:00:00,244,Customer payment,10327,583.8365625,0,RECEIVE
2018-02-08 00:00:00,244,Miscellaneous,12490,-898.1103125,0,SPEND
2018-02-09 00:00:00,244,Supplier payment,11801,-60.5,0,SPEND
2018-02-09 00:00:00,244,Supplier payment,11519,-35,0,SPEND
2018-02-12 00:00:00,244,Miscellaneous,12484,-2343.75,0,SPEND
2018-02-12 00:00:00,244,Miscellaneous,12490,-2968.75,0,SPEND
2018-02-13 00:00:00,244,Customer payment,10648,8.7725,0,RECEIVE
2018-02-13 00:00:00,244,Supplier payment,11472,-2471.3275,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,10967,-437.0725,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11410,-16.98,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11410,-605.1175,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11931,-903.87,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11540,-25,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11544,-72.6,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11543,-89.1875,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,12277,-66.85,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11259,-55.2,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11732,-19.805,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11638,-48.0975,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11615,-54.25,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11929,-33.7425,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11410,-312.01,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11623,-30,0,SPEND
2018-02-13 00:00:00,244,Supplier payment,11901,-591.0825,0,SPEND
2018-02-14 00:00:00,244,Supplier payment,11088,-0.6075,0,SPEND
2018-02-14 00:00:00,244,Supplier payment,11514,-810.905,0,SPEND
2018-02-14 00:00:00,244,Customer payment,10637,8.7725,0,RECEIVE
2018-02-15 00:00:00,244,Customer payment,10537,900.19,0,RECEIVE
2018-02-15 00:00:00,244,Supplier payment,10954,-64.9375,0,SPEND
2018-02-15 00:00:00,244,Supplier payment,11222,-15.5625,0,SPEND
2018-02-15 00:00:00,244,Supplier payment,11222,-19.435,0,SPEND
2018-02-19 00:00:00,244,Customer payment,10672,424.5625,0,RECEIVE
