date,bank_account,customer_id,account_code,type,amount,organisation,forecast
2018-02-15 00:00:00,244,11222,Supplier payment,SPEND,-19.435,999,0
2018-02-15 00:00:00,244,11222,Supplier payment,SPEND,-15.5625,999,0
2018-02-15 00:00:00,244,10954,Supplier payment,SPEND,-64.9375,999,0
2018-02-15 00:00:00,244,10537,Customer payment,RECEIVE,900.19,999,0
2018-02-19 00:00:00,244,12455,Supplier payment,SPEND,-373.745,999,0
2018-02-19 00:00:00,244,10672,Customer payment,RECEIVE,424.5625,999,0
2018-02-20 00:00:00,244,11262,Supplier payment,SPEND,-500,999,0
2018-02-20 00:00:00,244,11198,Supplier payment,SPEND,-1184.4409375,999,0
2018-02-21 00:00:00,244,12449,Supplier payment,RECEIVE,1605.55,999,0
2018-02-23 00:00:00,244,11293,Supplier payment,SPEND,-38.98,999,0
2018-02-23 00:00:00,244,11803,Supplier payment,SPEND,-282.1575,999,0
2018-02-23 00:00:00,244,11148,Supplier payment,SPEND,-107.0175,999,0
2018-02-23 00:00:00,244,11842,Supplier payment,SPEND,-94.0525,999,0
2018-02-23 00:00:00,244,11469,Supplier payment,SPEND,-132.9975,999,0
2018-02-23 00:00:00,244,12413,Supplier payment,SPEND,-26.9075,999,0
2018-02-23 00:00:00,244,11918,Supplier payment,SPEND,-31.7625,999,0
2018-02-23 00:00:00,244,11856,Supplier payment,SPEND,-4,999,0
2018-02-23 00:00:00,244,11798,Supplier payment,SPEND,-11.5,999,0
2018-02-23 00:00:00,244,11417,Supplier payment,SPEND,-4.955,999,0
2018-02-22 00:00:00,244,10591,Customer payment,RECEIVE,236.875,999,0
2018-02-22 00:00:00,244,10591,Customer payment,RECEIVE,50.82,999,0
2018-02-22 00:00:00,244,10567,Customer payment,RECEIVE,332.2875,999,0
2018-02-27 00:00:00,244,12284,Supplier payment,SPEND,-0.4975,999,0
2018-02-27 00:00:00,244,11259,Supplier payment,SPEND,-908.4359375,999,0
2018-02-27 00:00:00,244,12397,Supplier payment,SPEND,-1216.05,999,0
2018-02-27 00:00:00,244,11330,Supplier payment,SPEND,-105.875,999,0
2018-02-27 00:00:00,244,11254,Supplier payment,SPEND,-340.3125,999,0
2018-02-27 00:00:00,244,11401,Supplier payment,SPEND,-132.09,999,0
2018-02-27 00:00:00,244,10849,Supplier payment,SPEND,-171.5,999,0
2018-02-27 00:00:00,244,11293,Supplier payment,SPEND,-9.075,999,0
