party_id,booking_code,booking_period,invoice_number,invoice_date,due_date,closed_date,remark,currency,amount,tax_amount,company_id,ledger
12291,,2018-11,91001,2018-09-05 00:00:00,2018-10-05 00:00:00,,,EUR,135.9072,0,999,P
12300,,2018-05,91002,2018-03-18 00:00:00,2018-04-17 00:00:00,,,EUR,201.2517,0,999,P
12303,,2018-10,91003,2018-07-16 00:00:00,2018-09-01 00:00:00,,,EUR,67454.478,0,999,P
12310,,2018-06,91004,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,19.539,0,999,P
12310,,2018-06,91005,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,1416.8232,0,999,P
12310,,2018-06,91006,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,22644.0162,0,999,P
12310,,2018-06,91007,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,200.4327,0,999,P
12310,,2018-06,91008,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,224.7336,0,999,P
12310,,2018-06,91009,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,48.8592,0,999,P
12310,,2018-06,91010,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,8054.865,0,999,P
12310,,2018-06,91011,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,1188.1584,0,999,P
12310,,2018-06,91012,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,58.5,0,999,P
12310,,2018-06,91013,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,4815.954,0,999,P
12310,,2018-06,91014,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,10311.6312,0,999,P
12310,,2018-06,91015,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,235.4508,0,999,P
12310,,2018-06,91016,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,146.5659,0,999,P
12310,,2018-06,91017,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,215.4672,0,999,P
12310,,2018-06,91018,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,5.3235,0,999,P
12310,,2018-06,91019,2018-05-01 00:00:00,2018-05-31 00:00:00,,,EUR,9.7695,0,999,P
12310,,2018-07,91020,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,200.7252,0,999,P
12310,,2018-07,91021,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,225.0612,0,999,P
12310,,2018-07,91022,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,48.9294,0,999,P
12310,,2018-07,91023,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,5.3235,0,999,P
12310,,2018-07,91024,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,5.3235,0,999,P
12310,,2018-07,91025,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,7955.8245,0,999,P
12310,,2018-07,91026,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,146.7765,0,999,P
12310,,2018-07,91027,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,19.5741,0,999,P
12310,,2018-07,91028,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,29.3553,0,999,P
12310,,2018-07,91029,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,1048.671,0,999,P
12310,,2018-07,91030,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,22724.5356,0,999,P
12310,,2018-07,91031,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,230.4081,0,999,P
12310,,2018-07,91032,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,4770.1485,0,999,P
12310,,2018-07,91033,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,185.6673,0,999,P
12310,,2018-07,91034,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,1412.9271,0,999,P
12310,,2018-07,91035,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,58.5936,0,999,P
12310,,2018-07,91036,2018-05-31 00:00:00,2018-06-30 00:00:00,,,EUR,9932.5746,0,999,P
12310,,2018-08,91037,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,199.3914,0,999,P
12310,,2018-08,91038,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,233.2863,0,999,P
12310,,2018-08,91039,2018-07-01 00:00:00,2018-07-31 00:00:00,,,EUR,48.6018,0,999,P
